Case Number,Type,Status,Project Name,Issued Date,Applied Date,Expiration Date,Finalized Date,Module Name,Address,Main Parcel,Description
"BLDC-2024-001645","Building Commercial - Alteration","Cancelled","","02/13/2024","01/11/2024","08/11/2024","","Permit","19540  COMPASS CREEK PKWY  LEESBURG VA 20175","235297431000","X-archive room where electrical and mechanical equipment is housed such as CRAC units"
"BLDC-2024-002341","Building Commercial - Alteration","Finaled","","02/27/2024","01/17/2024","12/29/2025","06/30/2025","Permit","45305 W SEVERN WAY  STERLING VA 20166","042197707000","Installation of new mechanical units in existing data center, along with energization of existing upblast fans on roof."
"BLDC-2024-002684","Building Commercial - Alteration","Finaled","","04/08/2024","01/18/2024","06/09/2025","12/11/2024","Permit","45200 VANTAGE DATA PLZ STERLING VA 20166","044288975001","Construction of 64 canopies.  Construction includes installation of galvanized structural steel canopies on top of the 2nd floor level of an existing equipment mezzanines. The canopies are designed to purely divert hot air from the adjacent equipment and are not designed and/or intended for any form of occupancy.  Each canopy will be designed to include access doors and perforated steel panels on both ends.  A single gutter will be incorporated to divert water towards the downspout installed in the spline of each canopy."
"BLDC-2024-002849","Building Commercial - New Construction","Cancelled","","","01/20/2024","","","Permit","24171  YOUNGWOOD LN  ALDIE VA 20105","203371445000","YONDR NOV1B;  FOOTINGS AND FOUNDATIONS ONLY SUBMISSION. 

ONLY HAVE CONDITIONAL SITE APPROVAL SO ONLY LOOKING FOR FOOTINGS FOUNDATIONS PACKAGE CURRENTLY"
"BLDC-2024-002958","Building Commercial - Alteration","Issued","","07/24/2024","01/22/2024","03/15/2027","","Permit","42031  GROWTH MINDSET LN  ALDIE VA 20105","203354208000","Building permit for the Administrative office fit-out"
"BLDC-2024-002963","Building Commercial - Alteration","Issued","","12/05/2024","01/22/2024","12/31/2026","","Permit","42031  GROWTH MINDSET LN  ALDIE VA 20105","203354208000","Building permit for Colo 1 build-out"
"BLDC-2024-002965","Building Commercial - Alteration","Issued","","12/05/2024","01/22/2024","12/31/2026","","Permit","42031  GROWTH MINDSET LN  ALDIE VA 20105","203354208000","Building permit for Colo 2 fit-out"
"BLDC-2024-002968","Building Commercial - Alteration","Issued","","11/20/2024","01/22/2024","12/31/2026","","Permit","42031  GROWTH MINDSET LN  ALDIE VA 20105","203354208000","Fit-out of Colo 3 data center"
"BLDC-2024-002972","Building Commercial - Alteration","Issued","","12/05/2024","01/22/2024","12/31/2026","","Permit","42031  GROWTH MINDSET LN  ALDIE VA 20105","203354208000","Fit-out of Colo 4 data center"
"BLDC-2024-002978","Building Commercial - Alteration","Issued","","12/05/2024","01/22/2024","12/31/2026","","Permit","42031  GROWTH MINDSET LN  ALDIE VA 20105","203354208000","Fit-out of Colo 5 data center"
"BLDC-2024-002980","Building Commercial - Alteration","Issued","","06/25/2024","01/22/2024","03/16/2027","","Permit","42010  GROWTH MINDSET LN  ALDIE VA 20105","203354208000","Building permit for the Administrative office fit-out for IAD13"
"BLDC-2024-002982","Building Commercial - Alteration","Issued","","11/20/2024","01/22/2024","03/03/2027","","Permit","42010  GROWTH MINDSET LN  ALDIE VA 20105","203354208000","Fit-out of Colo 1 data center"
"BLDC-2024-002983","Building Commercial - Alteration","Issued","","11/20/2024","01/22/2024","02/16/2027","","Permit","42010  GROWTH MINDSET LN  ALDIE VA 20105","203354208000","Fit-out of Colo 2 data center"
"BLDC-2024-002986","Building Commercial - Alteration","Issued","","11/20/2024","01/22/2024","02/08/2027","","Permit","42010  GROWTH MINDSET LN  ALDIE VA 20105","203354208000","Fit-out of Colo 3 data center"
"BLDC-2024-002989","Building Commercial - Alteration","Issued","","11/20/2024","01/22/2024","03/01/2027","","Permit","42010  GROWTH MINDSET LN  ALDIE VA 20105","203354208000","Fit-out of Colo 4 data center"
"BLDC-2024-003556","Building Commercial - Alteration","Cancelled","","04/03/2024","01/25/2024","09/30/2024","","Permit","44761 GIGABIT PLZ ASHBURN VA 20147","088407447000","Hot Aisle Containment"
"BLDC-2024-004670","Building Commercial - Tenant Fit-Up","Issued Certificate of Occupancy","","04/02/2024","01/31/2024","02/23/2026","08/27/2025","Permit","44621  WAXPOOL RD  ASHBURN VA 20147","061275931000","Tenant Improvement - Phase 7"
"BLDC-2024-004677","Building Commercial - Tenant Fit-Up","Issued Certificate of Occupancy","","04/02/2024","01/31/2024","03/10/2026","09/11/2025","Permit","44621  WAXPOOL RD  ASHBURN VA 20147","061275931000","Tenant Improvement - Phase 8"
