Region,Reg #,Facility Name,Classification,FIPS,County,SIC,NAICS,CO Emissions in Tons,NH3 Emissions in Tons,NO2 Emissions in Tons,PM 10 Emissions in Tons,PM 2.5 Emissions in Tons,SO2 Emissions in Tons,VOC Emissions in Tons,Facility Total
TRO,61685,Perdue Foods LLC - Accomac Complex,Major/Potential Major,001,Accomack County,2015,311615,3.07,0.00,31.41,102.39,0.16,7.60,0.00,144.63
VRO,40083,Columbia Gas Transmission Corp - Bickers,Major/Potential Major,079,Greene County,4922,486210,53.07,0.00,45.85,0.07,20.00,4.56,4.55,128.11
VRO,40199,Dominion - Bremo Power Station,Major/Potential Major,065,Fluvanna County,4911,221112,13.97,0.00,150.41,0.66,5.10,6.84,6.84,183.81
VRO,40200,University of Virginia,Major/Potential Major,540,Charlottesville City,8221,611310,72.24,0.00,74.62,20.24,3.61,8.01,4.23,182.95
VRO,40464,Augusta Lumber - North Garden,Synthetic Minor,003,Albemarle County,2421,321912,20.25,0.00,7.43,0.84,0.57,13.57,0.00,42.66
VRO,40731,Northland Forest Products Inc,Synthetic Minor,065,Fluvanna County,2421,321999,13.17,0.00,2.15,0.55,1.38,5.94,0.00,23.19
VRO,40799,R A Yancey Lumber Corp,Synthetic Minor,003,Albemarle County,2421,321999,33.54,0.00,12.30,1.40,58.35,4.07,2.23,111.89
VRO,40962,Turman Tye River LLC,Synthetic Minor,125,Nelson County,2421,321912,8.05,0.00,4.48,0.46,1.48,10.68,1.56,26.70
VRO,40995,"Tenaska Virginia Partners, L.P.",Major/Potential Major,065,Fluvanna County,4911,221112,86.33,0.00,126.26,10.74,11.92,65.82,58.04,359.11
VRO,40999,Rivanna Solid Waste Auth-Ivy Materials Util Ctr,Synthetic Minor,003,Albemarle County,4953,562212,28.00,0.00,1.60,0.00,3.05,0.70,0.00,33.35
VRO,80027,B&S Contracting - Staunton Asphalt Plant,Synthetic Minor,790,Staunton City,2951,324121,21.02,0.00,6.30,0.58,0.43,2.24,0.00,30.58
VRO,80028,Stuart M Perry Incorporated-Asphalt,Synthetic Minor,069,Frederick County,1422,212312,18.07,0.00,5.42,0.00,0.37,0.20,0.38,24.45
VRO,80045,National Fruit Product Co Inc,Synthetic Minor,840,Winchester City,2033,311421,8.42,0.00,10.13,0.11,0.55,0.78,0.00,19.99
VRO,80065,Georges Family Farms - Feed Mill,True Minor,171,Shenandoah County,2015,311615,1.01,0.00,1.22,0.03,0.07,42.32,0.00,44.63
VRO,80077,Mundet-Hermetite Inc,Major/Potential Major,530,Buena Vista City,2754,323111,0.10,0.00,0.36,0.00,142.82,0.42,0.00,143.70
VRO,80087,Cargill Turkey Production LLC,Synthetic Minor,660,Harrisonburg City,2048,311119,2.06,0.00,2.46,0.02,0.14,22.06,0.00,26.73
VRO,80092,"Valley Proteins, Inc.",Major/Potential Major,069,Frederick County,2077,311613,4.66,0.00,23.03,38.60,5.13,5.91,0.64,77.96
VRO,80115,Andros Foods North America,Synthetic Minor,171,Shenandoah County,2033,311421,4.20,0.00,18.44,19.71,0.39,1.89,0.98,45.61
VRO,80117,JMU - James Madison University,Major/Potential Major,660,Harrisonburg City,8221,611310,26.07,0.00,18.46,0.75,1.83,2.57,2.55,52.24
VRO,80144,Valley Proteins Inc - Linville,Major/Potential Major,165,Rockingham County,2077,311613,13.82,0.00,20.10,6.40,7.24,5.61,2.65,55.82
VRO,80147,Howell Metal Co,Synthetic Minor,171,Shenandoah County,3351,331420,1.27,0.00,1.80,0.03,18.08,5.15,5.15,31.49
VRO,80187,Pilgrims Pride Corporation - Timberville,Synthetic Minor,165,Rockingham County,2015,311615,13.61,0.00,16.21,0.10,3.93,8.55,0.00,42.39
VRO,80237,Crown Cork & Seal USA Inc,Synthetic Minor,069,Frederick County,3411,332431,0.14,0.00,0.20,0.00,83.77,0.01,0.01,84.13
VRO,80252,O-N Minerals (Chemstone) Company - Strasburg Lime,Major/Potential Major,171,Shenandoah County,3274,327410,120.12,0.00,128.96,4.81,1.60,19.84,19.86,295.19
VRO,80269,Mohawk Industries Inc,Major/Potential Major,163,Rockbridge County,2273,314110,11.43,0.00,20.31,0.09,9.12,2.51,2.42,45.88
VRO,80324,LCS Communications Strasburg Division,Synthetic Minor,171,Shenandoah County,2752,323111,0.25,0.00,1.10,0.01,16.16,0.02,0.00,17.54
VRO,80333,O'Sullivan Films Inc,Major/Potential Major,840,Winchester City,3081,326113,21.17,0.00,16.27,0.34,57.97,18.37,1.00,115.12
VRO,80400,Berryville Graphics Inc,Synthetic Minor,043,Clarke County,2732,323117,2.66,0.00,3.23,0.03,15.95,0.24,0.00,22.12
VRO,80452,O-N Minerals (Chemstone) Company - Middletown,Synthetic Minor,069,Frederick County,1422,212312,0.16,0.00,1.25,4.19,0.01,10.77,0.00,16.39
VRO,80480,American Hardwood Industries LLC,Synthetic Minor,820,Waynesboro City,2421,321918,28.21,0.00,23.04,1.18,4.87,12.91,0.00,70.21
VRO,80515,Pactiv LLC - Grottoes Plastics Plant,Synthetic Minor,015,Augusta County,3081,326113,1.39,0.00,4.66,10.14,3.06,8.79,0.00,28.04
VRO,80517,INVISTA S.a r.l. - Waynesboro,Major/Potential Major,820,Waynesboro City,2824,325220,11.75,0.00,11.44,0.19,125.79,2.35,2.35,153.86
VRO,80524,Merck Sharp & Dohme Corporation,Major/Potential Major,165,Rockingham County,2834,325412,5.53,0.00,18.01,1.12,51.21,3.42,1.50,80.79
VRO,80697,Unimin Corporation,Synthetic Minor,069,Frederick County,1446,212322,1.96,0.00,11.66,0.00,0.15,11.39,0.00,25.17
VRO,80699,CED Enterprises Inc,Synthetic Minor,069,Frederick County,2819,325180,0.42,0.00,13.32,0.00,0.35,0.96,0.00,15.05
VRO,80786,VPGC LLC- Broadway,Synthetic Minor,165,Rockingham County,2048,311119,1.85,0.00,2.21,0.02,0.12,18.09,0.99,23.28
VRO,80795,Hollister Inc,Synthetic Minor,015,Augusta County,3842,339113,0.00,0.00,0.00,0.00,34.24,0.06,0.00,34.31
VRO,80816,"LSC Communications US, Inc. - Harrisonburg South Manufacturing Division",Synthetic Minor,660,Harrisonburg City,2752,323111,1.50,0.00,1.78,0.01,12.28,0.14,0.14,15.84
VRO,80828,The Omni Homestead,Synthetic Minor,017,Bath County,7011,721110,5.47,0.00,10.84,8.92,0.55,0.57,0.48,26.83
VRO,80884,Augusta Petroleum Cooperative Inc,True Minor,015,Augusta County,5171,424710,0.00,0.00,0.00,0.00,12.56,0.00,0.00,12.56
VRO,80992,Axalta Coating Systems LLC,Synthetic Minor,187,Warren County,2851,325510,6.14,0.00,7.31,0.04,50.48,1.23,0.56,65.76
VRO,81000,"LSC Communications US, Inc - Harrisonburg Manufacturing Division",Major/Potential Major,165,Rockingham County,2732,323117,0.44,0.00,0.53,0.00,55.56,12.79,0.00,69.32
VRO,81012,MillerCoors LLC,Major/Potential Major,165,Rockingham County,2082,312120,32.43,0.00,12.09,2.93,33.76,1.95,1.16,84.32
VRO,81018,Hershey Chocolate of Virginia Inc,Synthetic Minor,015,Augusta County,2066,311352,1.50,0.00,6.50,0.09,29.99,7.36,0.26,45.70
VRO,81062,Masco Cabinetry LLC,Major/Potential Major,171,Shenandoah County,2434,337110,7.47,0.00,1.36,0.44,387.11,7.30,8.47,412.15
VRO,81076,Pilgrim's Pride Corporation,Synthetic Minor,660,Harrisonburg City,2048,311119,2.47,0.00,2.94,0.02,0.16,27.94,0.00,33.52
VRO,81078,Everbrite LLC,Synthetic Minor,530,Buena Vista City,3993,339950,0.00,0.00,0.00,0.00,34.33,0.67,0.00,35.00
VRO,81087,Mountain View Rendering Company LLC,Synthetic Minor,171,Shenandoah County,2011,311611,14.34,0.00,17.30,0.39,4.16,9.05,0.00,45.24
VRO,81090,Ball Advanced Aluminum Technologies Corp - Verona,Synthetic Minor,015,Augusta County,3354,331318,8.45,0.00,10.06,0.06,89.66,11.88,11.87,131.98
VRO,81095,Kingspan Insulation LLC,Major/Potential Major,069,Frederick County,3086,326140,0.96,0.00,0.50,0.01,254.59,0.69,0.21,256.95
VRO,81096,McKee Foods Corporation,Synthetic Minor,015,Augusta County,2052,311919,2.58,0.00,3.07,0.02,17.60,3.72,0.63,27.62
VRO,81111,Cellofoam North America Inc - Winchester,Major/Potential Major,069,Frederick County,3086,326140,0.00,0.00,0.00,0.00,125.58,0.00,0.00,125.58
VRO,81112,"QG Printing II, Inc.",Synthetic Minor,069,Frederick County,2752,323111,0.00,0.00,2.97,0.00,35.40,0.00,0.00,38.37
VRO,81133,Augusta Correctional Center,Synthetic Minor,015,Augusta County,9223,922140,16.93,0.00,2.88,0.63,5.92,9.03,0.00,35.39
VRO,81139,Shenandoah Compressor Station,Major/Potential Major,139,Page County,4922,486210,10.57,0.00,15.00,0.00,2.75,0.04,0.00,28.36
VRO,81156,Augusta Health Medical Center,Synthetic Minor,015,Augusta County,8062,622110,9.34,0.00,17.48,0.40,0.87,0.44,0.34,28.86
VRO,81158,Green Bay Packaging Inc-Winchester Coated Products,Major/Potential Major,069,Frederick County,2672,322220,1.30,0.00,1.55,0.01,20.65,1.51,1.51,26.52
VRO,81164,Trex Company Inc,Synthetic Minor,069,Frederick County,3089,326199,0.00,0.00,0.00,0.00,20.33,16.95,0.00,37.29
VRO,81167,Blue Ridge Lumber,Synthetic Minor,015,Augusta County,2431,321918,0.24,0.00,1.23,21.37,0.49,7.12,0.00,30.45
VRO,81237,Kraft Foods Group Inc,True Minor,069,Frederick County,2086,312111,9.20,0.00,10.95,0.07,0.60,0.83,0.00,21.65
VRO,81247,Toray Plastics,Synthetic Minor,187,Warren County,3086,326150,17.64,0.00,7.55,0.00,8.36,10.50,2.13,46.18
VRO,81286,Columbia Gas Transmission Corp - Strasburg Com Sta,Synthetic Minor,171,Shenandoah County,4922,486210,19.34,0.00,3.52,0.36,0.48,1.15,1.15,26.00
VRO,81312,Frederick County Regional Landfill,Major/Potential Major,069,Frederick County,4953,562212,69.00,0.00,16.08,1.53,1.22,15.61,7.00,110.45
VRO,81359,HP Hood LLC,Major/Potential Major,069,Frederick County,2026,311511,46.74,0.00,32.72,23.08,23.77,6.91,6.91,140.14
VRO,81387,George's Foods LLC,Synthetic Minor,660,Harrisonburg City,2048,311119,1.86,0.00,2.24,0.16,0.12,11.36,0.00,15.74
VRO,81391,Dominion -  Warren,Major/Potential Major,187,Warren County,4911,221112,10.79,0.00,116.60,12.86,0.54,30.71,11.22,182.70
VRO,81537,Interbake Foods,True Minor,187,Warren County,2052,311812,11.43,0.00,13.61,0.00,0.75,1.03,0.00,26.83
VRO,81569,Rockingham County Landfill,True Minor,165,Rockingham County,4953,562212,17.25,0.00,3.26,0.09,0.90,2.10,2.10,25.71
VRO,81620,Montebello Packaging Inc,Synthetic Minor,660,Harrisonburg City,3354,331318,0.84,0.00,1.00,0.00,27.58,0.54,0.00,29.97
Totals: ,Totals: ,Totals: ,Totals: ,Totals: ,Totals: ,Totals: ,Totals: ,33279.93,0.00,53594.78,45343.17,22679.46,11736.17,5606.21,172239.72
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
