Region,Reg #,Facility Name,Classification,FIPS,County,SIC,NAICS,CO Emissions in Tons,NH3 Emissions in Tons,NO2 Emissions in Tons,PM 10 Emissions in Tons,PM 2.5 Emissions in Tons,SO2 Emissions in Tons,VOC Emissions in Tons,Facility Total
BRRO,30359,Butler Woodcrafters Inc,Synthetic Minor,117,Mecklenburg County,2421,321113,0.00,0.00,0.00,0.00,18.98,0.17,0.17,19.31
BRRO,30360,Longwood University,Synthetic Minor,147,Prince Edward County,8221,611310,57.51,0.00,47.82,6.20,3.73,27.74,27.71,170.72
BRRO,30362,Kyanite Mining Corp Mullite Plant,Synthetic Minor,029,Buckingham County,1459,212325,1.21,0.00,10.98,12.35,4.51,14.28,1.43,44.75
BRRO,30380,BGF Industries Inc,Synthetic Minor,031,Campbell County,2262,313310,8.15,0.00,9.88,0.54,15.91,0.79,0.79,36.07
BRRO,30389,GP Big Island LLC,Major/Potential Major,019,Bedford County,2631,322130,606.04,0.00,437.90,39.35,330.14,146.50,99.63,1659.55
BRRO,30397,Griffin Pipe Products Co LLC,Major/Potential Major,680,Lynchburg City,3321,331511,204.72,0.00,56.87,43.47,253.30,61.96,26.94,647.25
BRRO,30415,Colonial Pipeline Company Mitchell Junction,Major/Potential Major,049,Cumberland County,4613,486910,0.00,0.00,1.02,0.00,81.40,0.00,0.00,82.42
BRRO,30444,Unilin Flooring NC LLC,Synthetic Minor,143,Pittsylvania County,2426,321918,0.99,0.00,1.18,0.01,36.64,12.71,12.71,64.23
BRRO,30451,Piedmont Geriatric Hospital,Synthetic Minor,135,Nottoway County,8062,622110,22.98,0.00,4.25,1.78,2.77,2.35,0.22,34.36
BRRO,30478,Ronile Inc,Synthetic Minor,067,Franklin County,2262,313310,22.68,0.00,8.44,0.99,21.64,7.56,4.53,65.84
BRRO,30515,Southern Finishing,Major/Potential Major,690,Martinsville City,2511,337122,7.33,0.00,6.19,1.20,172.60,5.53,3.53,196.38
BRRO,30536,Southside Community Hospital,Synthetic Minor,147,Prince Edward County,8062,622110,0.57,0.00,4.98,26.86,0.14,0.68,0.37,33.59
BRRO,30549,Greif Packaging LLC,Major/Potential Major,009,Amherst County,2631,322130,489.85,0.00,427.51,5.17,160.47,32.17,30.01,1145.18
BRRO,30575,Old Dominion Wood Products,Synthetic Minor,680,Lynchburg City,2499,321999,0.00,0.00,0.00,0.00,13.06,0.24,0.00,13.30
BRRO,30590,Wheelabrator Abrasives Incorporated,Synthetic Minor,019,Bedford County,3291,332999,58.14,0.00,6.18,0.73,0.01,1.02,1.02,67.10
BRRO,30593,Times Fiber Communications Inc,Synthetic Minor,143,Pittsylvania County,3357,331491,0.00,0.00,0.00,0.00,31.50,0.00,0.00,31.50
BRRO,30631,TransMontaigne Montvale Terminal,Synthetic Minor,019,Bedford County,5171,424710,0.84,0.00,0.34,0.00,11.55,0.00,0.00,12.73
BRRO,30633,Trinity Packaging Corporation,Synthetic Minor,067,Franklin County,2759,323111,0.83,0.00,1.44,0.00,16.31,0.08,0.08,18.73
BRRO,30666,Charter Of Lynchburg Inc,Synthetic Minor,031,Campbell County,2511,337122,0.80,0.00,0.09,0.00,25.58,1.26,1.26,28.99
BRRO,30669,Slocum Adhesives Corporation,Synthetic Minor,680,Lynchburg City,2891,325520,0.00,0.00,0.00,0.00,12.00,0.00,0.00,12.00
BRRO,30677,Kyanite Mining Corporation - Willis,Major/Potential Major,029,Buckingham County,1459,212325,61.31,0.00,21.26,4.82,7.49,23.49,13.55,131.92
BRRO,30697,BRC Rail Car Service Company Inc,Synthetic Minor,680,Lynchburg City,4789,488210,0.01,0.00,0.04,0.11,16.98,6.93,6.93,31.00
BRRO,30718,Owens-Brockway Glass Container Inc,Major/Potential Major,143,Pittsylvania County,3221,327213,0.79,0.00,134.50,155.70,5.70,25.07,25.07,346.83
BRRO,30728,Smyth Companies LLC,True Minor,019,Bedford County,2752,323111,0.07,0.00,0.32,0.37,23.23,0.03,0.02,24.04
BRRO,30743,Virginia Marble Manufacturers Inc - 30743,Major/Potential Major,111,Lunenburg County,3088,326191,0.00,0.00,0.00,0.00,28.54,2.25,0.00,30.79
BRRO,30754,Flowers Baking Co Of Lynchburg LLC,Synthetic Minor,680,Lynchburg City,2051,311812,0.00,0.00,0.00,0.00,77.07,0.00,0.00,77.07
BRRO,30785,Shaw Industries Group Inc,Synthetic Minor,141,Patrick County,2426,321918,38.12,0.00,31.13,1.59,1.08,19.73,19.42,111.07
BRRO,30794,Aquatic Company,Major/Potential Major,083,Halifax County,3088,326191,0.09,0.00,0.43,0.00,40.98,0.57,0.01,42.08
BRRO,30823,Intertape Polymer Corporation,Major/Potential Major,143,Pittsylvania County,3081,326113,2.45,0.00,2.91,0.02,40.39,4.78,4.78,55.33
BRRO,30825,Ferguson Land and Lumber Company,True Minor,067,Franklin County,2421,321912,14.14,0.00,2.40,0.53,4.95,4.67,4.67,31.36
BRRO,30833,Gerdau MRM - Lynchburg,True Minor,031,Campbell County,5093,423930,2.16,0.00,12.79,0.01,3.16,1.74,1.71,21.57
BRRO,30845,Norcraft Companies,Major/Potential Major,680,Lynchburg City,2434,337110,0.00,0.00,0.00,0.00,197.87,11.54,0.00,209.41
BRRO,30848,Presto Products Company,True Minor,083,Halifax County,2673,326111,0.00,0.00,0.00,0.00,20.51,0.00,0.00,20.51
BRRO,30859,Dominion - Altavista Power Station,Major/Potential Major,031,Campbell County,4911,221112,293.20,0.00,217.50,11.20,2.97,21.85,19.27,566.00
BRRO,30861,Dominion - Mecklenburg Power Station,Major/Potential Major,117,Mecklenburg County,4911,221112,41.80,0.00,668.10,290.30,4.97,42.57,1.25,1048.98
BRRO,30864,Transco Gas Pipe Line Corp Station 165,Major/Potential Major,143,Pittsylvania County,4922,486210,69.18,0.00,332.30,0.23,17.06,3.75,3.75,426.26
BRRO,30866,A C Furniture Co,Synthetic Minor,143,Pittsylvania County,2599,337127,0.00,0.00,0.00,0.00,91.95,1.93,0.00,93.88
BRRO,30867,Dominion/ODEC - Clover Power Station,Major/Potential Major,083,Halifax County,4911,221112,277.24,0.00,8413.47,1774.12,87.31,875.22,67.05,11494.42
BRRO,30871,Dominion - Pittsylvania Power Station,Major/Potential Major,143,Pittsylvania County,4911,221117,612.51,0.00,161.50,7.91,18.62,42.76,5.63,848.93
BRRO,30877,CPFilms Inc - Axton,Major/Potential Major,089,Henry County,3083,326130,0.12,0.00,0.72,0.00,67.30,0.04,0.04,68.22
BRRO,30889,Glad Manufacturing Company,Synthetic Minor,009,Amherst County,2673,326111,0.00,0.00,0.00,0.00,12.27,8.01,0.00,20.28
BRRO,30893,Rockwood Specialties LLC dba Serenity Cabinets and Millwork,Synthetic Minor,089,Henry County,2511,337122,0.00,0.00,0.00,0.00,15.47,0.72,0.72,16.90
BRRO,30903,Georgia-Pacific Wood Products LLC,Major/Potential Major,031,Campbell County,2493,321219,183.68,0.00,182.74,19.97,116.87,132.11,120.84,756.20
BRRO,30905,"Huber Engineered Woods, LLC",Major/Potential Major,083,Halifax County,2493,321219,120.77,0.00,132.37,14.96,122.27,104.20,104.20,598.78
BRRO,30914,Virginia Marble Manufacturers Inc - 30914,Major/Potential Major,111,Lunenburg County,3088,326191,0.00,0.00,0.00,0.00,38.25,3.46,0.00,41.71
BRRO,30926,American Buildings Company,Synthetic Minor,117,Mecklenburg County,3448,332311,0.00,0.00,0.00,0.00,31.50,0.38,0.00,31.88
BRRO,30970,Atlas Roofing Corporation,Synthetic Minor,089,Henry County,3086,326140,1.47,0.00,1.75,0.01,80.19,0.13,0.13,83.69
BRRO,30972,CPFilms Inc - Martinsville,Synthetic Minor,089,Henry County,3081,326113,2.99,0.00,3.89,0.02,16.15,0.22,0.27,23.55
BRRO,30974,Frito Lay Incorporated,Synthetic Minor,680,Lynchburg City,2096,311919,20.15,0.00,18.64,0.18,2.30,20.96,20.96,83.20
BRRO,30996,Morgan Lumber Company,Major/Potential Major,037,Charlotte County,2421,321113,56.59,0.00,20.75,2.36,113.79,0.00,0.00,193.48
BRRO,31012,Barr Laboratories Inc,Synthetic Minor,019,Bedford County,2834,325412,5.93,0.00,7.75,0.09,38.15,0.59,0.59,53.11
BRRO,31013,"Bassett Furniture Industries, Inc., Table Plant 11",Major/Potential Major,089,Henry County,2511,337122,0.38,0.00,0.45,0.00,147.02,0.71,0.71,149.27
BRRO,31024,Trout River Lumber,Synthetic Minor,135,Nottoway County,2426,321113,0.00,0.00,13.41,0.00,0.99,10.62,5.20,30.22
BRRO,31039,ArborTech Forest Products Inc,Major/Potential Major,135,Nottoway County,2421,321113,54.92,0.00,54.43,4.32,145.37,32.95,15.05,307.03
BRRO,32001,Hanwha Azdel Inc,Synthetic Minor,680,Lynchburg City,3083,326130,4.95,0.00,6.04,0.06,53.90,35.00,0.18,100.13
BRRO,32004,Dominion - Bear Garden CT Station,Major/Potential Major,029,Buckingham County,4911,221112,18.90,0.00,100.88,7.51,2.66,20.95,20.95,171.85
BRRO,32035,Elkay Wood Product Company,Major/Potential Major,143,Pittsylvania County,2434,337110,0.58,0.00,1.32,0.05,146.58,5.31,0.05,153.88
BRRO,32048,Ontario Hardwood Co Inc Dry Kiln,True Minor,037,Charlotte County,2421,321113,14.41,0.00,5.34,0.60,2.35,7.37,0.00,30.06
BRRO,32077,Lignetics Incorporated,True Minor,111,Lunenburg County,2499,321999,9.29,0.00,14.17,1.20,13.71,54.75,0.00,93.12
BRRO,32084,Sanfacon Virginia Incorporated,Synthetic Minor,031,Campbell County,2676,322291,0.00,0.00,0.00,0.00,26.05,0.00,0.00,26.05
NRO,40075,Bingham and Taylor Corp - Div of Virginia Ind,Major/Potential Major,047,Culpeper County,3321,331511,393.24,0.00,1.65,3.36,36.75,11.63,8.27,454.89
NRO,40087,"Ardent Mills, LLC",Synthetic Minor,047,Culpeper County,2041,311211,0.00,0.00,0.00,0.00,0.00,39.33,0.00,39.33
NRO,40307,"Naval Support Facility, Dahlgren",Synthetic Minor,099,King George County,9711,928110,6.21,0.00,27.28,0.18,1.07,0.87,0.75,36.36
NRO,40368,FBI Academy,Synthetic Minor,179,Stafford County,9711,928110,13.45,0.00,34.27,0.17,1.72,1.39,0.77,51.76
NRO,40369,Rochester Wire and Cable LLC,Synthetic Minor,047,Culpeper County,3357,335929,0.37,0.00,5.69,0.01,12.21,0.05,0.03,18.36
NRO,40513,American Woodmark Orange Dimension Plant,Synthetic Minor,137,Orange County,2434,337110,18.03,0.00,13.84,2.23,11.12,36.24,0.00,81.47
NRO,40554,OFIC North America Incorporated,Synthetic Minor,177,Spotsylvania County,2952,324122,0.87,0.00,2.17,0.20,19.07,0.06,0.00,22.38
NRO,40670,W T Jones & Son Inc,Synthetic Minor,033,Caroline County,2421,321113,11.82,0.00,9.65,0.49,20.82,7.09,0.00,49.88
NRO,40690,Printpack Inc,True Minor,177,Spotsylvania County,2671,326112,1.97,0.00,2.34,0.01,25.64,0.18,0.00,30.14
NRO,40696,Cellofoam North America Inc,Major/Potential Major,179,Stafford County,3086,326150,0.42,0.00,0.50,0.00,41.68,0.04,0.00,42.64
NRO,40726,Dominion - North Anna Power Station,Synthetic Minor,109,Louisa County,4911,221113,2.84,0.00,12.31,0.00,0.36,0.20,0.18,15.91
NRO,40728,MASCO Cabinetry LLC - Culpeper,Major/Potential Major,047,Culpeper County,2434,337110,0.72,0.00,0.85,0.06,124.54,1.04,1.04,128.25
NRO,40776,Virginia Paving Company Stafford,Synthetic Minor,179,Stafford County,2951,324121,0.00,0.00,6.89,24.74,0.07,1.22,0.00,32.92
NRO,40779,"Cellofoam North America, Inc. - Fredericksburg, VA",Major/Potential Major,177,Spotsylvania County,3086,326140,0.63,0.00,0.75,0.00,41.51,0.06,0.06,43.01
NRO,40790,Columbia Gas Transmission Corporation,Synthetic Minor,109,Louisa County,4922,486210,10.36,0.00,5.94,0.01,2.23,0.10,0.00,18.62
NRO,40808,Dominion - Gordonsville Power Station,Major/Potential Major,109,Louisa County,4911,221112,19.40,0.00,144.81,9.50,63.22,31.55,34.04,302.52
NRO,40809,Birchwood Power Facility,Major/Potential Major,099,King George County,4931,221112,138.29,0.00,270.30,265.40,1.89,47.02,40.98,763.87
NRO,40811,A Smith Bowman Distillery,True Minor,177,Spotsylvania County,2085,312140,0.00,0.00,0.00,0.00,21.76,0.00,0.00,21.76
NRO,40821,CHIPS Inc,Synthetic Minor,109,Louisa County,2421,321113,77.58,0.00,22.49,2.24,27.72,55.23,0.00,185.26
NRO,40824,Greenhost Incorporated,Synthetic Minor,099,King George County,0182,111419,7.52,0.00,27.37,0.00,0.67,0.65,0.00,36.20
NRO,40902,Warrenton Training Center-Station B,Major/Potential Major,061,Fauquier County,9711,928110,2.87,0.00,20.47,0.20,1.33,0.71,0.71,26.29
NRO,40903,King George Landfill Inc,Major/Potential Major,099,King George County,4953,562212,121.35,0.00,84.55,45.51,37.45,28.87,26.50,344.24
NRO,40923,Caroline County Landfill,True Minor,033,Caroline County,4953,562211,10.61,0.00,0.57,0.00,0.00,0.00,0.00,11.18
NRO,40946,Rappahannock Regional Solid Waste Management Board,Synthetic Minor,179,Stafford County,4953,562212,13.14,0.00,2.92,0.54,3.00,0.64,0.63,20.86
NRO,40947,Harkness Hall Limited,Synthetic Minor,630,Fredericksburg City,3861,333316,0.00,0.00,0.00,0.00,26.98,0.00,0.00,26.98
NRO,40960,Dominion - Ladysmith CT Station,Major/Potential Major,033,Caroline County,4911,221112,26.21,0.00,93.15,4.00,4.49,15.50,15.50,158.86
NRO,40961,Dominion - Remington CT Station,Major/Potential Major,061,Fauquier County,4911,221112,9.48,0.00,162.43,4.91,9.60,30.57,30.57,247.56
NRO,40989,Old Dominion Electric Cooperative - Louisa,Major/Potential Major,109,Louisa County,4911,221112,58.75,0.00,72.75,1.92,5.64,25.82,25.82,190.70
