site_name,registration_number,issuance_date,program_type,city_or_county,regional_office,permit_url,address,main_parcel,generator_count,generator_capacity_mw,fuel,operating_limits,pollutant_limits,source_file,is_northern_virginia,unverified_fields
"NTT Global Data Centers VA10, LLC",74260,2026-04-03,Minor NSR,Prince William County,Northern,,"NTT Global Data Centers VA10, LLC, 7253 Grove Hill Road, Gainesville, VA 20155 (VA10), 7251 Grove Hill Road, Gainesville, VA 20155 (VA11)",,,,diesel,"p. 10: VA10, VA10-H, VA11, and VA11-H) shall not operate more than 32 hours per year for | p. 10: and VA11-H) shall not operate more than 500 hours per year for all purposes (as provided",,raw/deq_va/742602_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
Digital Realty,74262,2026-06-24,Minor NSR,Prince William County and City of Manassas,Northern,,"9905 Godwin Dr and 10050 and 10051 Brickyard Way, Manassas, Virginia 20110",,,,diesel,"p. 12: BYPBB1, BYPBB2, and BYPBB1MW) shall not operate more than 25 hours per year for | p. 12: BYPBB1MW) shall not operate more than 500 hours per year for all purposes (as provided",,raw/deq_va/742624_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
Digital Realty,74264,2024-09-20,Minor NSR,Loudoun County,Northern,,"22588 Relocation Drive, Sterling, Virginia 20166",,,,diesel,p. 9: operate more than 25 hours per year for scheduled maintenance checks and readiness,,raw/deq_va/74264_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
Yondr JK 2 LLC,74265,2024-10-22,Minor NSR,Loudoun County,Northern,,"42455 Allegro Lane,, Aldie, Virginia 20105",,,,diesel,p. 9: through EG-121) shall not operate more than 30 hours per year for scheduled maintenance | p. 9: not operate more than 500 hours per year for all purposes (as provided in Condition 5),,raw/deq_va/742653_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"SI NVA06A, LLC",74269,,Minor NSR,Loudoun County,Northern,,"19265 & 19275 Compass Creek Parkway SE, Leesburg, VA 20175",,,,diesel,"p. 8: through EG-44) shall not operate more than 500 hours per year for all purposes (as | p. 8: more than 3,390 hours per year combined for all purposes (as provided in Condition 5) | p. 8: not operate more than 18 hours per year for scheduled maintenance checks and readiness",,raw/deq_va/742692_DC_Permit.pdf,True,issuance_date;permit_url;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74270,2023-10-25,Minor NSR,Culpeper County,NORTHERN,,"20420 Germanna Hwy, Stevensburg, VA 22741",,,,diesel,p. 7: 35) shall not operate more than 32 hours per year for scheduled maintenance checks and | p. 7: more than 500 hours per year for all purposes (as provided in Condition 3) combined,,raw/deq_va/74270_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74272,2023-10-25,Minor NSR,Fairfax County,NORTHERN,,"7961 Loisdale Rd, Springfield, VA 22150",,,,diesel,p. 7: 30) shall not operate more than 32 hours per year for scheduled maintenance checks and | p. 7: more than 500 hours per year for all purposes (as provided in Condition 3) combined,,raw/deq_va/74272_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74273,2023-12-19,Minor NSR,Fairfax County,NORTHERN,,"IAD-165, IAD-166, IAD-167, IAD-168,, and IAD-613 Data Centers, 13640, 13620, 13630, 13610, and 13650 EDS Drive, Herndon, VA 20171",,,,diesel,p. 8: 106) shall not operate more than 32 hours per year for scheduled maintenance checks and | p. 8: not operate more than 500 hours per year for all purposes (as provided in Condition 6),p. 10: 48.06 lb/hr 9.58 lb/hr 30.75 lb/hr 38.85 lb/hr | p. 10: 6.09 lb/hr 1.59 lb/hr 5.78 lb/hr 3.95 lb/hr | p. 10: 1.21 lb/hr 0.33 lb/hr 0.87 lb/hr 1.13 lb/hr,raw/deq_va/74273_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74274,2023-12-27,Minor NSR,Loudoun County,NORTHERN,,"24214, 24224, 24234, and 24244 Quail Ridge Lane, Aldie, VA 20105",,,,diesel,"p. 7: 96, T1, and T2) shall not operate more than 32 hours per year for scheduled maintenance | p. 7: not operate more than 500 hours per year for all purposes (as provided in Condition 3)",,raw/deq_va/74274_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Ashburn Data Property Owner, L.P",74276,2023-11-13,Minor NSR,Loudoun County,NORTHERN,,"21800 Beaumeade Circle, Ashburn, VA 20147",,,,diesel,"p. 7: through EG26) shall not operate more than 24 hours per year for scheduled maintenance | p. 7: operate more than 500 hours per year for all purposes (as provided in Condition 3) | p. 7: operate more than 2,600 hours per year for all purposes (as provided in Condition 3)",p. 9: Hourly Limit (lb/hr) Annual Limit (tons/yr),raw/deq_va/74276_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74277,2025-08-21,Minor NSR,Prince William County,Northern,,"IAD-195, IAD-196, IAD-197, & IAD-198, 14495, 14475, 14455, and 14435 John Marshall Highway, Gainesville, Virginia 20155",,,,diesel,"p. 8: 108, T1, and T2) shall not operate more than 32 hours per year for scheduled maintenance | p. 8: shall not operate more than 500 hours per year for all purposes (as provided in Condition 3)",,raw/deq_va/74277_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74278,2023-10-31,Minor NSR,Prince William County,NORTHERN,,"IAD-210 & IAD-211, 11580 and 11600 Hayden Road, Manassas, Virginia 20109",,,,diesel,"p. 7: 42, T1, and T2) shall not operate more than 32 hours per year for scheduled maintenance | p. 7: not operate more than 500 hours per year for all purposes (as provided in Condition 3)",,raw/deq_va/74278_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Vantage Data Centers VA3, LLC",74284,2026-01-05,Minor NSR,Loudoun County,Northern,,"Vantage Data Centers VA3, LLC, 19590 Belmont Ridge Road, Ashburn, VA 20147",,,,diesel,"p. 10: operate more than 500 hours per year for all purposes (as provided in Condition 5) | p. 10: combined shall not operate more than 37 hours per year when emissions are | p. 10: combined shall not operate more than 311,769 hours per year when emissions are",,raw/deq_va/742842_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Vantage Data Centers VA16, LLC",74287,2024-10-15,Minor NSR,Loudoun County,Northern,,,,,,diesel,p. 7: through EG-22) shall not operate more than 29 hours per year for scheduled maintenance | p. 7: not operate more than 500 hours per year for all purposes (as provided in Condition 3),,raw/deq_va/74287_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74288,2026-06-01,Minor NSR,Spotsylvania County,Northern,,"IAD450 through IAD456 Cosner Tech, 3901 Massaponax Church Road, Fredericksburg, VA 22408",,,,diesel,p. 10: more than 500 hours per year for all purposes (as provided in Condition 6) | p. 10: more than 35 hours per year for Scheduled MCRT (as provided in Condition 6.c),p. 12: X 2 4.44 lb/hr | p. 12: X 2 53.48 lb/hr | p. 12: Particulate Matter (PM) 0.20 lb/hr,raw/deq_va/742882_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
