site_name,registration_number,issuance_date,program_type,city_or_county,regional_office,permit_url,address,main_parcel,generator_count,generator_capacity_mw,fuel,operating_limits,pollutant_limits,source_file,is_northern_virginia,unverified_fields
"Peak 10, Inc",52299,2011-05-06,,Richmond,PIEDMONT,,,,,,diesel,,,raw/deq_va/52299_DC_Permit.pdf,False,program_type;permit_url;address;generator_count;generator_capacity_mw
Bank of AmericaNational Association,52403,2021-02-09,,Henrico County,PIEDMONT,,,,,,diesel,"p. 6: operate more than 500 hours per year and all engine-generator sets referenced in this | p. 6: condition shall not operate more than 6,390 hours per year combined, calculated monthly as",p. 7: PM 0.7 lb/hr 1.7 tons/yr | p. 7: PM10 0.7 lb/hr 1.7 tons/yr | p. 7: Nitrogen Oxides (as NO ) 5.4 lb/hr 13.5 tons/yr,raw/deq_va/52403_DC_Permit.pdf,False,program_type;permit_url;address;generator_count;generator_capacity_mw
Chirisa Richmond LLC,52432,2026-04-09,Minor NSR,Chesterfield County,Piedmont,,,,,,diesel,p. 8: EG-DD2C-01 through EG-DD2C-04) shall not operate more than 500 hours per year,p. 11: lb/hr lb/hr lb/hr | p. 11: lb/hr lb/hr,raw/deq_va/524326_DC_Permit.pdf,False,permit_url;address;generator_count;generator_capacity_mw
■ Scout Development LLC,52629,2018-07-03,,Henrico County,PIEDMONT,,,,,,diesel,,p. 8: Compounds (VOCs) | :: 2.0 lb/hr .; 2.0 Ib/hr ■ 0.4 Ib/hr • :- ' n-7tpy,raw/deq_va/52629_DC_Permit.pdf,False,program_type;permit_url;address;generator_count;generator_capacity_mw
Microsoft Corporation,52820,2023-09-05,New Source Review,Mecklenburg County,PIEDMONT,,,,,,diesel,,p. 7: PM 0.6 lb/hr 0.1 lb/hr | p. 7: Nitrogen Oxides (as NO ) 50.5 lb/hr 7.1 lb/hr | p. 7: Carbon Monoxide 1.9 lb/hr 0.6 lb/hr,raw/deq_va/52820_DC_Permit.pdf,False,permit_url;address;generator_count;generator_capacity_mw
Microsoft Corporation,52903,2023-09-19,New Source Review,Mecklenburg County,PIEDMONT,,,,,,diesel,,p. 7: PM 0.8lb/hr 0.2 lb/hr 0.2lb/hr | p. 7: PM 0.9lb/hr 0.2 lb/hr 0.2lb/hr | p. 7: Nitrogen Oxides (as NO ) 57.8 lb/hr 8.3 lb/hr 14.3 lb/hr,raw/deq_va/52903_DC_Permit.pdf,False,permit_url;address;generator_count;generator_capacity_mw
Microsoft Corporation,52949,2023-09-28,New Source Review,Mecklenburg County,PIEDMONT,,,,,,diesel,,p. 7: PM 2.1 lb/hr 4.1 tons/yr | p. 7: PM10 1.7 lb/hr 3.7 tons/yr | p. 7: PM2.5 1.7 lb/hr 3.6 tons/yr,raw/deq_va/52949_DC_Permit.pdf,False,permit_url;address;generator_count;generator_capacity_mw
Microsoft Corporation,52973,2025-07-23,Minor NSR,Mecklenburg County,,,,,,,diesel,,p. 7: PM 2.1 lb/hr 4.1 tons/yr | p. 7: PM10 1.7 lb/hr 3.7 tons/yr | p. 7: PM2.5 1.6 lb/hr 3.6 tons/yr,raw/deq_va/52973_DC_Permit.pdf,False,regional_office;permit_url;address;generator_count;generator_capacity_mw
Microsoft Corporation,53071,2023-07-12,New Source Review,Mecklenburg County,PIEDMONT,,,,,,diesel,,p. 7: PM 0.8lb/hr 0.2 lb/hr | p. 7: PM-10 0.9lb/hr 0.2 lb/hr | p. 7: PM 2.5 0.9lb/hr 0.2 lb/hr,raw/deq_va/53071_DC_Permit.pdf,False,permit_url;address;generator_count;generator_capacity_mw
Microsoft Corporation,53072,2023-07-13,New Source Review,Mecklenburg County,PIEDMONT,,,,,,diesel,,p. 7: PM 0.6 lb/hr 0.1 lb/hr | p. 7: PM 0.7lb/hr 0.1 lb/hr | p. 7: Nitrogen Oxides (as NO ) 50.6 lb/hr 7.1 lb/hr,raw/deq_va/53072_DC_Permit.pdf,False,permit_url;address;generator_count;generator_capacity_mw
Microsoft Corporation,53086,2025-04-22,New Source Review,Mecklenburg County,Piedmont,,,,,,diesel,,p. 7: PM 0.6 lb/hr 0.1 lb/hr | p. 7: PM 0.7 lb/hr 0.1 lb/hr | p. 7: Nitrogen Oxides (as NO ) 50.6 lb/hr 9.9 lb/hr,raw/deq_va/53086_DC_Permit.pdf,False,permit_url;address;generator_count;generator_capacity_mw
