deq_site_name,deq_registration_number,landmarc_project_id,landmarc_project_name,name_confidence,address_confidence,parcel_confidence,overall_confidence,confidence_basis,review_status
"Meridian Science 7990, LLC",71804,lm-a7097f8ee747,WATERSIDE PROJECT,0.3333333333333333,,,0.3333333333333333,name,unreviewed
"Meridian Science 7990, LLC",71804,lm-75ee4f107a53,UNIVERSITY CENTER PROJECT,0.32,,,0.32,name,unreviewed
,72367,lm-4aede19eb362,,,0.6451612903225806,,0.6451612903225806,address,unreviewed
,72367,lm-f7ef8f981a99,,,0.6451612903225806,,0.6451612903225806,address,unreviewed
,72367,lm-1a10901cf029,,,0.6290322580645161,,0.6290322580645161,address,unreviewed
,73160,lm-296784dff6b3,,,0.4046242774566474,,0.4046242774566474,address,unreviewed
,73160,lm-8f94fcebd9a9,,,0.4022346368715084,,0.4022346368715084,address,unreviewed
,73160,lm-959e0394e597,,,0.4022346368715084,,0.4022346368715084,address,unreviewed
"Equinix, LLC",73233,lm-ac0dc32b13b5,,,0.6285714285714286,,0.6285714285714286,address,unreviewed
"Equinix, LLC",73233,lm-41a57fb30dc6,,,0.5420560747663551,,0.5420560747663551,address,unreviewed
"Equinix, LLC",73233,lm-9137fc531685,,,0.5384615384615384,,0.5384615384615384,address,unreviewed
21571 Beaumeade Circle LLC,73240,lm-5589c269eec5,,,0.8888888888888888,,0.888888888888889,address,unreviewed
21571 Beaumeade Circle LLC,73240,lm-1baa9af1edc2,,,0.8641975308641975,,0.8641975308641975,address,unreviewed
21571 Beaumeade Circle LLC,73240,lm-25071c174452,,,0.8395061728395061,,0.8395061728395061,address,unreviewed
"Amazon Data Services, Inc",73294,lm-09e176142758,SILVER DISTRICT WEST PROJECT,0.38461538461538464,,,0.38461538461538464,name,unreviewed
"Amazon Data Services, Inc",73294,lm-1943bce07f9c,SILVER DISTRICT WEST PROJECT,0.38461538461538464,,,0.38461538461538464,name,unreviewed
"Amazon Data Services, Inc",73294,lm-9cddbbe14399,SILVER DISTRICT WEST PROJECT,0.38461538461538464,,,0.38461538461538464,name,unreviewed
"New Dominion Technology Park, LLC",73369,lm-75ee4f107a53,UNIVERSITY CENTER PROJECT,0.3157894736842105,,,0.3157894736842105,name,unreviewed
"Elk Ventures, LLC (ACC 9)",73370,lm-c033d59b702d,,,0.961038961038961,,0.961038961038961,address,unreviewed
"Elk Ventures, LLC (ACC 9)",73370,lm-c9daa80f997f,,,0.961038961038961,,0.961038961038961,address,unreviewed
"Elk Ventures, LLC (ACC 9)",73370,lm-a3a1f069fa80,,,0.935064935064935,,0.935064935064935,address,unreviewed
"Gazelle Ventures, LLC (ACC10)",73370,lm-a3a1f069fa80,,,0.9210526315789473,,0.9210526315789473,address,unreviewed
"Gazelle Ventures, LLC (ACC10)",73370,lm-c033d59b702d,,,0.8947368421052632,,0.8947368421052632,address,unreviewed
"Gazelle Ventures, LLC (ACC10)",73370,lm-c9daa80f997f,,,0.8947368421052632,,0.8947368421052632,address,unreviewed
Corporate Office Properties Trust (COPT),73683,lm-56705468a408,,,0.46511627906976744,,0.46511627906976744,address,unreviewed
Corporate Office Properties Trust (COPT),73683,lm-cb9726a291bf,,,0.46511627906976744,,0.46511627906976744,address,unreviewed
Corporate Office Properties Trust (COPT),73683,lm-ede96c912ff0,,,0.46511627906976744,,0.46511627906976744,address,unreviewed
"Zayo Group, LLC",73717,lm-1439f12727a0,,,0.4044943820224719,,0.4044943820224719,address,unreviewed
"Zayo Group, LLC",73717,lm-1baa9af1edc2,,,0.40425531914893614,,0.40425531914893614,address,unreviewed
"Zayo Group, LLC",73717,lm-6a54d7bcb226,,,0.40425531914893614,,0.40425531914893614,address,unreviewed
"Amazon Data Services, Inc",73741,lm-09e176142758,SILVER DISTRICT WEST PROJECT,0.38461538461538464,,,0.38461538461538464,name,unreviewed
"Amazon Data Services, Inc",73741,lm-1943bce07f9c,SILVER DISTRICT WEST PROJECT,0.38461538461538464,,,0.38461538461538464,name,unreviewed
"Amazon Data Services, Inc",73741,lm-9cddbbe14399,SILVER DISTRICT WEST PROJECT,0.38461538461538464,,,0.38461538461538464,name,unreviewed
DataBank Holdings Ltd,73743,lm-48d2e0522c71,,,0.616822429906542,,0.616822429906542,address,unreviewed
DataBank Holdings Ltd,73743,lm-ee176bf319a4,,,0.616822429906542,,0.616822429906542,address,unreviewed
DataBank Holdings Ltd,73743,lm-32b7d4d085e5,,,0.5689655172413793,,0.5689655172413793,address,unreviewed
,73757,lm-6530362f301b,,,0.6197183098591549,,0.6197183098591549,address,unreviewed
